RCNumber,name,CanonialName,address,contactfirstname,contactlastname,contactemail,contactphone,designation
RC6284,MOBIL PRODUCING NIGERIA UNLIMITED,,"Mobil House, Lekki Expressway, Victoria Island, Lagos, Nigeria.",Victor,Olaiya,,-2800881,Mark .R. Ward
,MONI PULO LIMITED,,"5,Odoni Street, Amadi Flats, Port Harcourt, Rivers State, Nigeria.",Paul,Oke,www.monipulo.com,"+234(0)84462827-8, 463116, 463573",
,MOVIDO EXPLORATION AND PRODUCING LIMITED,,"18, Alhaji Bashorun Street, Off Norman Williams, South West, Ikoyi, Lagos.",R.A.Sadare,,movido@movidoeandp.com  or  www.movidoeandp.com,"+234-1-2707220, +234-1-2692909",R.A. Sadare
,NECONDE,,,,,,,
RC403841,NETWORK E & P NIGERIA LIMITED,,"109, Awolowo Road, Ikoyi, Lagos.",Dr.A.O. Adewusi,,,"01-790-3899, 01-741-8953, 01-950-4828",Dr.A.O. Adewusi
,NEW CROSS PETROLEUM,,,,,,,
,NEW NIGERIA,,,,,,,
,NIG-DEL UNITED LIMITED,,,,,,,
,NIGER DELTA PETROLEUM RESOURCES LIMITED,,"15b, Festival Road, P.O.Box 73880 Victoria Island, Lagos",,,,,
,NIGER DELTA WESTERN LIMITED,,,,,,,
,NIGERIA AGIP EXPLORATION,,"Plot Pc 23, Engineering Close, Victoria Island, Lagos.",,,,,
,NIGERIA AGIP OIL COMPANY LIMITED,,"Plot Pc 23, Engineering Close, Victoria Island, Lagos.",,,,,
,NIGERIA PETROLEUM DEVELOPMENT COMPANY,,,,,,,
,NOREAST PETROLEUM NIGERIA LIMITED,,"21b, Oju Olobun Close, Victoria Island, Lagos.",,,,,
,OANDO EXPLORATION AND PRODUCTION LIMITED,,"Stallion House, 2 Ajose Adeogun Street, Victoria, Island, Lagos.",,,,,
,OIL AND GAS NIGERIA LIMITED,,,,,,,
,OILWORLD LIMITED,,,,,,,
,ONGC - MITTAL,,,,,,,
,OPTIMUM PETROLEUM,,,,,,,
,ORANTO  PETROLEUM LTD,,,,,,,
,ORIENT PETROLEUM REFINERY LIMITED,,,,,,,
RC153400,ORIENTAL ENERGY RESOURCES LIMITED,,"Plot 397, Muhammadu Buhari way, Central Business District Area, Abuja.",Mohammed,Alibe,www.oriental-er.com,"+234(0)97800144, +234(0)97800145",Mohammed .B. Alibe
,PAN OCEAN OIL CORPORATION,,"The Ark Towers, Plot 17, Ligali Ayorinde Street, Victoria Island, Lagos.",,,,,
,PEAK PETROLEUM INDUSTRIES NIGERIA LIMITED,,"Plot 1423, Amodu Tijiani Street, Off Sanusi Fafunwa Street, Victoria Island, Lagos.",,,,,
RC322270,PETROLEO BRASILEIRO NIGERIA LIMITED,,"5th Floor, Sapetro Towers. 1, Adeola Odeku Street, Victoria Island, Lagos.",Felipe,Brandao,,(01)4621300,Felipe Brandao
,PILLAR OIL LIMITED,,"10, Elsie Femi-Pearse Street, Victoria Island, Lagos.", , ,"pillaroil@yahoo.com,pillaroil.com.ng",01-271707112,
,PLATFORM PETROLEUM LIMITED,,"6,Lasode Crescent, Off Ozumba Mbadiwe Avenue/Lekki Express road Victoria Island, Lagos, Nigeria.",Engr. O. S. Owieadolor,,,01-2711776,Engr. O. S. Owieadolor
,PRIME ENERGY,,,,,,,
,SAHARA ENERGY EXPLORATION & PRODUCTION,,,,,,,
,SEEPCO,,"Plot 205, Abiola Segun Ajayi Street Off Muri Okunola Street, Victoria Island, Lagos.",,,info@stoilmgt.com,-7616438,
,SEPLAT PETROLEUM,,,,,,,
,SEPLAT PETROLEUM,,,,,,,
,SHELL NIGERIA EXPLORATION AND PRODUCTION COMPANY LIMITED,,"Freeman House, 21/22 Marina, Lagos.",,,,,
,SHELL NIGERIA ULTRA DEEP LIMITED,,"21/22 Marina, Freeman House, Marina, Lagos.",,,,,
,SHELL PETROLEUM DEVELOPMENT COMPANY OF NIGERIA LIMITED,,"Freeman House, 21/22 Marina, Lagos.",,,www.shellnigeria.com,+234(0)12601600,
,SHORELINE,,,,,,,
,SOGENAL LIMITED,,,,,,,
RC284117,SOUTH ATLANTIC PETROLEUM LIMITED,,"2nd,11th & 12th Floors, South Atlantic Petroleum Towers, 1,Adeola Odeku Street, Victoria Island, Lagos, Nigeria.",Martin,Trachsel,info@sapetro.com / www.sapetro.com,"234-1-9032750, 1-2701906, 1-4623100",Mr Martin Trachsel
,STARDEEP,,,,,,,
RC186901,STATOIL NIGERIA LIMITED,,"1A Bourdillon Road, Ikoyi, Lagos, Nigeria.",Ariwoola,Ogbemi,www.statoil.com,-4619931,Ariwoola Ogbemi
,STERLING GLOBAL OIL RESOURCES LIMITED,,"Plot 205, Abiola Segun Ajayi Street Off Muri Okunola Street, Victoria Island, Lagos.",,,,,
,SUMILLENIUM OIL AND GAS MMIT OIL INT. ,,,,,,,
RC150351,SUMMIT OIL INTERNATIONAL LIMITED,,"Zulikha Wuraola House, 362, Herbert Macaulay Street, Yaba, Lagos",Zulikat,Abiola,operations@summitoilinternational.com,-4709490,Zulikat Wuraola Abiola
,SUNLINK PETROLEUM,,,,,,,
,TENOIL,,,,,,,
RC2979,TOTAL EXPLORATION & PRODUCTION NIGERIA LIMITED,,"Lagos office: Plot 1415E Adetokunbo Ademola Street, Victoria Island, Lagos.",Olatunji,Akinwunmi,,"+234(0)8039064999, +234(0)8070174999",Guy Maurice
,TRANSNATIONAL CORPORATION,,,,,,,
,UNIVERSAL ENERGY RESOURCES LIMITED,,"Plot 9 Banking Layouts, Off UdoUdoma way, Uyo, AKS.",Chidi,chukwuke,,,Dr. Chidi Chukwueke
RC302804,WALTERSMITH PETROMAN OIL LIMITED,,"18, Keffi Street, Ikoyi, Lagos, Nigeria.",Peter,Ekhaesomhi,info@waltersmithng.com,-2804946,
RC12206,YINKA FOLAWIYO PETROLEUM COMPANY LIMITED,,"7th floor, Yinka Folawiyo Plaza, 38 Yinka Folawiyo Ave. Apapa, Lagos.",T.B Folawiyo,,www.yinkafolawiyo.com,-2809659,T.B. Folawiyo
RC347525,ZEBBRA ENERGY LIMITED,,"10D,Lugard Avenue, Ikoyi, Lagos.",Dr. S.A. Okolo,,zebbraenergylimited@yahoo.com or info@zebbra-energy.com,"234-1-2690219, 2696015",Dr. S.A. Okolo
,OPEN ACREAGE/UNKNOWN LEASE,,,,,,,
,NIGERIA NATIONAL PETROLEUM CORPORATION,,,,,,,
,OCCIDENTAL PET. CORP,,,,,,,
,OCEAN ENERGY NIG LTD,,,,,,,
,OMEL,,,,,,,
,PHILLIPS,,,,,,,
,SAHARA ENERGY AFRICAN OIL & GAS,,,,,,,
,TENNECO,,,,,,,
,TFE EP GQ,,,,,,,
,BRASS OIL SERVICES,,,,,,,
,BRITISH PETROLEUM,,,,,,,
,DU PONTE,,,,,,,
,E.A. NG SERVICES,,,,,,,
,NIGERIAN BITUMEN COP,,,,,,,
,OXY PETROLEUM,,,,,,,
,TOTAL UPSTREAM NIGERIA,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,DEMINEX,,,,,,,
,BAYELSA OIL & GAS,,,,,,,
